Time,Voltage,
0.0053,-77.8591,
0.00532,-77.8672,
0.00534,-77.872,
0.00536,-77.8738,
0.00538,-77.8734,
0.0054,-77.8714,
0.00542,-77.8687,
0.00544,-77.8662,
0.00546,-77.8645,
0.00548,-77.8642,
0.0055,-77.8655,
0.00552,-77.8687,
0.00554,-77.8735,
0.00556,-77.8795,
0.00558,-77.8864,
0.0056,-77.8934,
0.00562,-77.9003,
0.00564,-77.9064,
0.00566,-77.9117,
0.00568,-77.9159,
0.0057,-77.919,
0.00572,-77.9212,
0.00574,-77.9228,
0.00576,-77.9239,
0.00578,-77.9249,
0.0058,-77.926,
0.00582,-77.9273,
0.00584,-77.9288,
0.00586,-77.9304,
0.00588,-77.932,
0.0059,-77.9333,
0.00592,-77.9342,
0.00594,-77.9345,
0.00596,-77.9341,
0.00598,-77.9328,
0.006,-77.9309,
0.00602,-77.9285,
0.00604,-77.9259,
0.00606,-77.9233,
0.00608,-77.9211,
0.0061,-77.9198,
0.00612,-77.9195,
0.00614,-77.9204,
0.00616,-77.9225,
0.00618,-77.9258,
0.0062,-77.9302,
0.00622,-77.9353,
0.00624,-77.9407,
0.00626,-77.946,
0.00628,-77.9508,
0.0063,-77.9548,
0.00632,-77.9576,
0.00634,-77.959,
0.00636,-77.9591,
0.00638,-77.958,
0.0064,-77.9558,
0.00642,-77.9531,
0.00644,-77.9502,
0.00646,-77.9478,
0.00648,-77.9464,
0.0065,-77.9463,
0.00652,-77.948,
0.00654,-77.9515,
0.00656,-77.9569,
0.00658,-77.9639,
0.0066,-77.9721,
0.00662,-77.981,
0.00664,-77.9898,
0.00666,-77.998,
0.00668,-78.0049,
0.0067,-78.01,
0.00672,-78.0129,
0.00674,-78.0135,
0.00676,-78.0121,
0.00678,-78.0089,
0.0068,-78.0043,
0.00682,-77.9992,
0.00684,-77.994,
0.00686,-77.9894,
0.00688,-77.986,
0.0069,-77.9841,
0.00692,-77.9837,
0.00694,-77.985,
0.00696,-77.9875,
0.00698,-77.991,
0.007,-77.9949,
0.00702,-77.9988,
0.00704,-78.0023,
0.00706,-78.0051,
0.00708,-78.0071,
0.0071,-78.008,
0.00712,-78.0081,
0.00714,-78.0076,
0.00716,-78.0068,
0.00718,-78.006,
0.0072,-78.0054,
0.00722,-78.0054,
0.00724,-78.0062,
0.00726,-78.0077,
0.00728,-78.0101,
0.0073,-78.0132,
0.00732,-78.0168,
0.00734,-78.0208,
0.00736,-78.0248,
0.00738,-78.0286,
0.0074,-78.0321,
0.00742,-78.0351,
0.00744,-78.0374,
0.00746,-78.0391,
0.00748,-78.04,
0.0075,-78.0403,
0.00752,-78.0399,
0.00754,-78.039,
0.00756,-78.0375,
0.00758,-78.0358,
0.0076,-78.0338,
0.00762,-78.0319,
0.00764,-78.0301,
0.00766,-78.0286,
0.00768,-78.0275,
0.0077,-78.0269,
0.00772,-78.0269,
0.00774,-78.0273,
0.00776,-78.0282,
0.00778,-78.0293,
0.0078,-78.0305,
0.00782,-78.0315,
0.00784,-78.0323,
0.00786,-78.0326,
0.00788,-78.0324,
0.0079,-78.0317,
0.00792,-78.0305,
0.00794,-78.0293,
0.00796,-78.0279,
0.00798,-78.0267,
0.008,-78.0258,
0.00802,-78.0253,
0.00804,-78.0252,
0.00806,-78.0255,
0.00808,-78.0262,
0.0081,-78.0268,
0.00812,-78.0273,
0.00814,-78.0276,
0.00816,-78.0274,
0.00818,-78.0269,
0.0082,-78.026,
0.00822,-78.025,
0.00824,-78.0241,
0.00826,-78.0237,
0.00828,-78.0241,
0.0083,-78.0256,
0.00832,-78.0285,
0.00834,-78.0328,
0.00836,-78.0384,
0.00838,-78.0452,
0.0084,-78.0529,
0.00842,-78.0609,
0.00844,-78.0688,
0.00846,-78.0762,
0.00848,-78.0826,
0.0085,-78.0879,
0.00852,-78.0917,
0.00854,-78.0941,
0.00856,-78.0951,
0.00858,-78.0951,
0.0086,-78.0943,
0.00862,-78.0931,
0.00864,-78.0916,
0.00866,-78.0902,
0.00868,-78.0889,
0.0087,-78.0879,
0.00872,-78.087,
0.00874,-78.086,
0.00876,-78.0849,
0.00878,-78.0833,
0.0088,-78.0811,
0.00882,-78.0781,
0.00884,-78.0744,
0.00886,-78.07,
0.00888,-78.0651,
0.0089,-78.0598,
0.00892,-78.0546,
0.00894,-78.0496,
0.00896,-78.0453,
0.00898,-78.0418,
0.009,-78.0393,
0.00902,-78.0379,
0.00904,-78.0375,
0.00906,-78.038,
0.00908,-78.0392,
0.0091,-78.0409,
0.00912,-78.0428,
0.00914,-78.0446,
0.00916,-78.0459,
0.00918,-78.0466,
0.0092,-78.0462,
0.00922,-78.0447,
0.00924,-78.0419,
0.00926,-78.0379,
0.00928,-78.0328,
0.0093,-78.0271,
0.00932,-78.021,
0.00934,-78.0153,
0.00936,-78.0106,
0.00938,-78.0072,
0.0094,-78.006,
0.00942,-78.0068,
0.00944,-78.0099,
0.00946,-78.0147,
0.00948,-78.0206,
0.0095,-78.0268,
0.00952,-78.0321,
0.00954,-78.0355,
0.00956,-78.0359,
0.00958,-78.033,
0.0096,-78.0265,
0.00962,-78.0169,
0.00964,-78.0054,
0.00966,-77.9935,
0.00968,-77.9832,
0.0097,-77.9765,
0.00972,-77.9752,
0.00974,-77.9806,
0.00976,-77.993,
0.00978,-78.0117,
0.0098,-78.0347,
0.00982,-78.0586,
0.00984,-78.079,
0.00986,-78.0904,
0.00988,-78.0868,
0.0099,-78.0625,
0.00992,-78.0118,
0.00994,-77.9302,
0.00996,-77.8146,
0.00998,-77.6634,
0.01,-77.4769,
0.01002,-77.2573,
0.01004,-77.0081,
0.01006,-76.7344,
0.01008,-76.4417,
0.0101,-76.1362,
0.01012,-75.8237,
0.01014,-75.5096,
0.01016,-75.1981,
0.01018,-74.8924,
0.0102,-74.5945,
0.01022,-74.3051,
0.01024,-74.024,
0.01026,-73.75,
0.01028,-73.4817,
0.0103,-73.2174,
0.01032,-72.9555,
0.01034,-72.6948,
0.01036,-72.4342,
0.01038,-72.1737,
0.0104,-71.913,
0.01042,-71.6529,
0.01044,-71.3941,
0.01046,-71.1374,
0.01048,-70.8838,
0.0105,-70.6341,
0.01052,-70.3888,
0.01054,-70.1484,
0.01056,-69.9129,
0.01058,-69.6821,
0.0106,-69.4559,
0.01062,-69.2338,
0.01064,-69.0152,
0.01066,-68.7995,
0.01068,-68.5862,
0.0107,-68.3747,
0.01072,-68.1645,
0.01074,-67.955,
0.01076,-67.7458,
0.01078,-67.5365,
0.0108,-67.3268,
0.01082,-67.1164,
0.01084,-66.9053,
0.01086,-66.6933,
0.01088,-66.4805,
0.0109,-66.267,
0.01092,-66.0531,
0.01094,-65.8389,
0.01096,-65.6247,
0.01098,-65.4108,
0.011,-65.1974,
0.01102,-64.9848,
0.01104,-64.7732,
0.01106,-64.5629,
0.01108,-64.354,
0.0111,-64.1468,
0.01112,-63.9417,
0.01114,-63.7387,
0.01116,-63.5379,
0.01118,-63.3396,
0.0112,-63.1435,
0.01122,-62.9496,
0.01124,-62.7574,
0.01126,-62.5666,
0.01128,-62.3767,
0.0113,-62.187,
0.01132,-61.9969,
0.01134,-61.8061,
0.01136,-61.6142,
0.01138,-61.4211,
0.0114,-61.2268,
0.01142,-61.0317,
0.01144,-60.8363,
0.01146,-60.6414,
0.01148,-60.4475,
0.0115,-60.2556,
0.01152,-60.0661,
0.01154,-59.8794,
0.01156,-59.6957,
0.01158,-59.5149,
0.0116,-59.3363,
0.01162,-59.1592,
0.01164,-58.9827,
0.01166,-58.8058,
0.01168,-58.6274,
0.0117,-58.4468,
0.01172,-58.2633,
0.01174,-58.0766,
0.01176,-57.8869,
0.01178,-57.6946,
0.0118,-57.5006,
0.01182,-57.3058,
0.01184,-57.1114,
0.01186,-56.9186,
0.01188,-56.7286,
0.0119,-56.5422,
0.01192,-56.3601,
0.01194,-56.1828,
0.01196,-56.0104,
0.01198,-55.843,
0.012,-55.68,
0.01202,-55.5206,
0.01204,-55.3635,
0.01206,-55.2069,
0.01208,-55.0484,
0.0121,-54.8856,
0.01212,-54.7158,
0.01214,-54.5373,
0.01216,-54.3493,
0.01218,-54.1525,
0.0122,-53.9498,
0.01222,-53.7461,
0.01224,-53.5477,
0.01226,-53.3621,
0.01228,-53.1961,
0.0123,-53.0549,
0.01232,-52.9402,
0.01234,-52.849,
0.01236,-52.7728,
0.01238,-52.6979,
0.0124,-52.6062,
0.01242,-52.4775,
0.01244,-52.2924,
0.01246,-52.0357,
0.01248,-51.7001,
0.0125,-51.2892,
0.01252,-50.8192,
0.01254,-50.3191,
0.01256,-49.8283,
0.01258,-49.3925,
0.0126,-49.0575,
0.01262,-48.8616,
0.01264,-48.8268,
0.01266,-48.9522,
0.01268,-49.2071,
0.0127,-49.5285,
0.01272,-49.8219,
0.01274,-49.9656,
0.01276,-49.8203,
0.01278,-49.241,
0.0128,-48.0925,
0.01282,-46.2657,
0.01284,-43.6919,
0.01286,-40.3566,
0.01288,-36.3069,
0.0129,-31.6551,
0.01292,-26.5752,
0.01294,-21.2928,
0.01296,-16.0709,
0.01298,-11.1896,
0.013,-6.92519,
0.01302,-3.52745,
0.01304,-1.20008,
0.01306,-0.0844643,
0.01308,-0.249131,
0.0131,-1.68572,
0.01312,-4.31167,
0.01314,-7.97918,
0.01316,-12.4894,
0.01318,-17.61,
0.0132,-23.0949,
0.01322,-28.7028,
0.01324,-34.2145,
0.01326,-39.4459,
0.01328,-44.2573,
0.0133,-48.5568,
0.01332,-52.2998,
0.01334,-55.4836,
0.01336,-58.1403,
0.01338,-60.3261,
0.0134,-62.1118,
0.01342,-63.5728,
0.01344,-64.7812,
0.01346,-65.7998,
0.01348,-66.6786,
0.0135,-67.4539,
0.01352,-68.1484,
0.01354,-68.7738,
0.01356,-69.3339,
0.01358,-69.8272,
0.0136,-70.2505,
0.01362,-70.6009,
0.01364,-70.8774,
0.01366,-71.0818,
0.01368,-71.2186,
0.0137,-71.2945,
0.01372,-71.318,
0.01374,-71.2981,
0.01376,-71.2435,
0.01378,-71.1624,
0.0138,-71.0619,
0.01382,-70.9474,
0.01384,-70.8234,
0.01386,-70.6932,
0.01388,-70.559,
0.0139,-70.4222,
0.01392,-70.2836,
