Time,Voltage,Raw_Voltage
0.00124,-77.3674,-77.2743
0.00126,-77.3652,-77.3681
0.00128,-77.3642,-77.3994
0.0013,-77.3647,-77.3056
0.00132,-77.367,-77.462
0.00134,-77.3714,-77.2743
0.00136,-77.3776,-77.3368
0.00138,-77.3853,-77.3994
0.0014,-77.394,-77.3994
0.00142,-77.4032,-77.4307
0.00144,-77.412,-77.3681
0.00146,-77.42,-77.3994
0.00148,-77.4264,-77.4933
0.0015,-77.4309,-77.462
0.00152,-77.4334,-77.4933
0.00154,-77.4339,-77.4307
0.00156,-77.4327,-77.3681
0.00158,-77.4304,-77.4307
0.0016,-77.4275,-77.4307
0.00162,-77.4247,-77.3994
0.00164,-77.4225,-77.4307
0.00166,-77.4214,-77.3994
0.00168,-77.4218,-77.4307
0.0017,-77.4236,-77.3994
0.00172,-77.4267,-77.462
0.00174,-77.4307,-77.4307
0.00176,-77.435,-77.3994
0.00178,-77.4391,-77.4307
0.0018,-77.4425,-77.462
0.00182,-77.4445,-77.462
0.00184,-77.4451,-77.5246
0.00186,-77.444,-77.3994
0.00188,-77.4414,-77.3994
0.0019,-77.4378,-77.4933
0.00192,-77.4337,-77.4307
0.00194,-77.4297,-77.3681
0.00196,-77.4266,-77.462
0.00198,-77.4251,-77.4307
0.002,-77.4257,-77.3994
0.00202,-77.4287,-77.3681
0.00204,-77.4343,-77.462
0.00206,-77.4422,-77.4933
0.00208,-77.452,-77.462
0.0021,-77.4631,-77.4933
0.00212,-77.4747,-77.462
0.00214,-77.4862,-77.3994
0.00216,-77.4967,-77.5246
0.00218,-77.5056,-77.4933
0.0022,-77.5126,-77.5246
0.00222,-77.5175,-77.5246
0.00224,-77.5202,-77.5558
0.00226,-77.5211,-77.4933
0.00228,-77.5206,-77.5558
0.0023,-77.5192,-77.4933
0.00232,-77.5175,-77.5558
0.00234,-77.5161,-77.5558
0.00236,-77.5154,-77.462
0.00238,-77.5157,-77.5246
0.0024,-77.5171,-77.462
0.00242,-77.5197,-77.4307
0.00244,-77.5232,-77.5246
0.00246,-77.5273,-77.6184
0.00248,-77.5317,-77.5871
0.0025,-77.536,-77.4933
0.00252,-77.5399,-77.5246
0.00254,-77.5432,-77.5246
0.00256,-77.5459,-77.6184
0.00258,-77.5479,-77.5558
0.0026,-77.5495,-77.6184
0.00262,-77.551,-77.462
0.00264,-77.5526,-77.4933
0.00266,-77.5547,-77.5871
0.00268,-77.5575,-77.5558
0.0027,-77.5612,-77.6184
0.00272,-77.5658,-77.5246
0.00274,-77.5711,-77.5246
0.00276,-77.5771,-77.4933
0.00278,-77.5835,-77.5871
0.0028,-77.5899,-77.681
0.00282,-77.5961,-77.6497
0.00284,-77.6019,-77.6497
0.00286,-77.6071,-77.6184
0.00288,-77.6116,-77.5246
0.0029,-77.6155,-77.6497
0.00292,-77.6189,-77.6497
0.00294,-77.622,-77.5558
0.00296,-77.6248,-77.6184
0.00298,-77.6275,-77.5871
0.003,-77.6301,-77.6184
0.00302,-77.6326,-77.6497
0.00304,-77.6347,-77.6497
0.00306,-77.6361,-77.681
0.00308,-77.6366,-77.6497
0.0031,-77.6359,-77.6184
0.00312,-77.6338,-77.681
0.00314,-77.63,-77.5558
0.00316,-77.6246,-77.6184
0.00318,-77.618,-77.5871
0.0032,-77.6103,-77.5871
0.00322,-77.6022,-77.7436
0.00324,-77.5942,-77.5558
0.00326,-77.5872,-77.5871
0.00328,-77.5815,-77.5558
0.0033,-77.5779,-77.5871
0.00332,-77.5766,-77.6184
0.00334,-77.5777,-77.5558
0.00336,-77.5813,-77.5246
0.00338,-77.587,-77.5558
0.0034,-77.5945,-77.5871
0.00342,-77.6031,-77.6497
0.00344,-77.6124,-77.6184
0.00346,-77.6217,-77.5871
0.00348,-77.6307,-77.681
0.0035,-77.6388,-77.6497
0.00352,-77.6459,-77.6497
0.00354,-77.652,-77.681
0.00356,-77.657,-77.6497
0.00358,-77.6611,-77.6497
0.0036,-77.6646,-77.681
0.00362,-77.6675,-77.6497
0.00364,-77.6703,-77.6184
0.00366,-77.6729,-77.5871
0.00368,-77.6756,-77.7123
0.0037,-77.6785,-77.7436
0.00372,-77.6815,-77.681
0.00374,-77.6846,-77.7123
0.00376,-77.6879,-77.681
0.00378,-77.6911,-77.6497
0.0038,-77.6943,-77.7748
0.00382,-77.6974,-77.681
0.00384,-77.7002,-77.681
0.00386,-77.7027,-77.681
0.00388,-77.7049,-77.7436
0.0039,-77.7065,-77.681
0.00392,-77.7074,-77.7436
0.00394,-77.7075,-77.6497
0.00396,-77.7067,-77.6497
0.00398,-77.705,-77.7123
0.004,-77.7022,-77.7436
0.00402,-77.6985,-77.681
0.00404,-77.694,-77.7123
0.00406,-77.6889,-77.7123
0.00408,-77.6836,-77.7436
0.0041,-77.6785,-77.6497
0.00412,-77.674,-77.681
0.00414,-77.6706,-77.7123
